time,id,longitude,lattitude,diameter,pressure,normal_pressure,is_online,on_pipe,coords
2,7,92069.22172,436406.1671,1.5,102,100,1,17,28992
2,8,92082.54751,436400.1265,1.5,106,100,1,15,28992
2,9,92080.39375,436345.4752,1,92,100,1,18,28992
2,10,92146.54553,436383.4084,1,93,100,1,14,28992
2,11,92147.43424,436381.0434,2,99,100,1,13,28992
2,12,92129.12934,436378.1102,1,93,100,1,20,28992
2,13,92130.01078,436375.7647,1.5,100,100,1,15,28992
2,14,92130.74601,436373.8081,2,100,100,1,8,28992
2,15,92135.00831,436362.4657,1,94,100,1,9,28992
2,16,92209.03947,436347.1462,2,90,100,1,8,28992
2,17,92104.04564,436332.0832,1,97,100,1,11,28992
2,18,92116.15108,436325.5407,1,95,100,1,12,28992
2,19,92163.28931,436322.1312,1,93,100,1,11,28992
2,20,92165.59751,436322.9986,2,101,100,1,10,28992
2,21,92169.4782,436324.4569,1,95,100,1,9,28992
2,22,92110.09859,436302.1429,1.5,109,100,1,7,28992
2,23,92112.2674,436296.3715,1.5,98,100,1,7,28992
2,24,92130.19827,436302.8266,1.5,97,100,1,6,28992
2,25,92158.71169,436305.5121,1.5,96,100,1,6,28992
2,26,92202.72943,436331.1104,1,95,100,1,4,28992
2,27,92217.33968,436324.8211,1.5,100,100,1,3,28992
2,28,92232.98589,436303.1488,1.5,105,100,1,3,28992
2,29,92173.45139,436299.3301,1.5,100,100,1,5,28992
2,30,92247.61172,436262.1376,2,97,100,1,1,28992
2,31,92186.87709,436263.603,1.5,98,100,1,5,28992
2,32,92190.56285,436264.988,1,97,100,1,4,28992
2,33,92198.33024,436244.1301,1.5,98,100,1,2,28992
3,0,92110.84339,436371.2387,1,91,100,1,12,28992
3,1,92062.79703,436448.6712,1.5,100,100,1,19,28992
3,2,92139.02588,436454.7468,2,98,100,1,16,28992
3,3,92148.62344,436448.8276,1,101,100,1,21,28992
3,4,92151.50189,436449.9093,1,97,100,1,14,28992
3,5,92154.11776,436450.8923,2,106,100,1,13,28992
3,6,92073.95777,436420.7694,1.5,92,100,1,17,28992
3,7,92069.22172,436406.1671,1.5,97,100,1,17,28992
3,8,92082.54751,436400.1265,1.5,98,100,1,15,28992
3,9,92080.39375,436345.4752,1,94,100,1,18,28992
3,10,92146.54553,436383.4084,1,103,100,1,14,28992
3,11,92147.43424,436381.0434,2,91,100,1,13,28992
3,12,92129.12934,436378.1102,1,103,100,1,20,28992
3,13,92130.01078,436375.7647,1.5,98,100,1,15,28992
3,14,92130.74601,436373.8081,2,100,100,1,8,28992
3,15,92135.00831,436362.4657,1,102,100,1,9,28992
3,16,92209.03947,436347.1462,2,97,100,1,8,28992
3,17,92104.04564,436332.0832,1,90,100,1,11,28992
3,18,92116.15108,436325.5407,1,96,100,1,12,28992
3,19,92163.28931,436322.1312,1,94,100,1,11,28992
3,20,92165.59751,436322.9986,2,103,100,1,10,28992
3,21,92169.4782,436324.4569,1,95,100,1,9,28992
3,22,92110.09859,436302.1429,1.5,114,100,1,7,28992
3,23,92112.2674,436296.3715,1.5,101,100,1,7,28992
3,24,92130.19827,436302.8266,1.5,102,100,1,6,28992
3,25,92158.71169,436305.5121,1.5,90,100,1,6,28992
3,26,92202.72943,436331.1104,1,99,100,1,4,28992
3,27,92217.33968,436324.8211,1.5,103,100,1,3,28992
3,28,92232.98589,436303.1488,1.5,97,100,1,3,28992
3,29,92173.45139,436299.3301,1.5,93,100,1,5,28992
3,30,92247.61172,436262.1376,2,111,100,1,1,28992
3,31,92186.87709,436263.603,1.5,97,100,1,5,28992
3,32,92190.56285,436264.988,1,107,100,1,4,28992
3,33,92198.33024,436244.1301,1.5,96,100,1,2,28992
4,0,92110.84339,436371.2387,1,103,100,1,12,28992
4,1,92062.79703,436448.6712,1.5,96,100,1,19,28992
4,2,92139.02588,436454.7468,2,104,100,1,16,28992
4,3,92148.62344,436448.8276,1,98,100,1,21,28992
4,4,92151.50189,436449.9093,1,98,100,1,14,28992
4,5,92154.11776,436450.8923,2,100,100,1,13,28992
4,6,92073.95777,436420.7694,1.5,103,100,1,17,28992
4,7,92069.22172,436406.1671,1.5,103,100,1,17,28992
4,8,92082.54751,436400.1265,1.5,101,100,1,15,28992
4,9,92080.39375,436345.4752,1,109,100,1,18,28992
4,10,92146.54553,436383.4084,1,102,100,1,14,28992
4,11,92147.43424,436381.0434,2,102,100,1,13,28992
4,12,92129.12934,436378.1102,1,105,100,1,20,28992
4,13,92130.01078,436375.7647,1.5,100,100,1,15,28992
4,14,92130.74601,436373.8081,2,92,100,1,8,28992
4,15,92135.00831,436362.4657,1,104,100,1,9,28992
4,16,92209.03947,436347.1462,2,107,100,1,8,28992
4,17,92104.04564,436332.0832,1,104,100,1,11,28992
4,18,92116.15108,436325.5407,1,103,100,1,12,28992
4,19,92163.28931,436322.1312,1,101,100,1,11,28992
4,20,92165.59751,436322.9986,2,105,100,1,10,28992
4,21,92169.4782,436324.4569,1,101,100,1,9,28992
4,22,92110.09859,436302.1429,1.5,97,100,1,7,28992
4,23,92112.2674,436296.3715,1.5,90,100,1,7,28992
4,24,92130.19827,436302.8266,1.5,92,100,1,6,28992
4,25,92158.71169,436305.5121,1.5,100,100,1,6,28992
4,26,92202.72943,436331.1104,1,96,100,1,4,28992
4,27,92217.33968,436324.8211,1.5,103,100,1,3,28992
4,28,92232.98589,436303.1488,1.5,97,100,1,3,28992
4,29,92173.45139,436299.3301,1.5,98,100,1,5,28992
4,30,92247.61172,436262.1376,2,103,100,1,1,28992
4,31,92186.87709,436263.603,1.5,102,100,1,5,28992
4,32,92190.56285,436264.988,1,98,100,1,4,28992
4,33,92198.33024,436244.1301,1.5,100,100,1,2,28992
5,0,92110.84339,436371.2387,1,95,100,1,12,28992
5,1,92062.79703,436448.6712,1.5,102,100,1,19,28992
5,2,92139.02588,436454.7468,2,95,100,1,16,28992
5,3,92148.62344,436448.8276,1,91,100,1,21,28992
5,4,92151.50189,436449.9093,1,101,100,1,14,28992
5,5,92154.11776,436450.8923,2,100,100,1,13,28992
5,6,92073.95777,436420.7694,1.5,102,100,1,17,28992
5,7,92069.22172,436406.1671,1.5,96,100,1,17,28992
5,8,92082.54751,436400.1265,1.5,100,100,1,15,28992
5,9,92080.39375,436345.4752,1,101,100,1,18,28992
5,10,92146.54553,436383.4084,1,101,100,1,14,28992
5,11,92147.43424,436381.0434,2,93,100,1,13,28992
5,12,92129.12934,436378.1102,1,111,100,1,20,28992
5,13,92130.01078,436375.7647,1.5,107,100,1,15,28992
5,14,92130.74601,436373.8081,2,102,100,1,8,28992
5,15,92135.00831,436362.4657,1,96,100,1,9,28992
5,16,92209.03947,436347.1462,2,95,100,1,8,28992
5,17,92104.04564,436332.0832,1,90,100,1,11,28992
5,18,92116.15108,436325.5407,1,98,100,1,12,28992
5,19,92163.28931,436322.1312,1,97,100,1,11,28992
5,20,92165.59751,436322.9986,2,103,100,1,10,28992
5,21,92169.4782,436324.4569,1,111,100,1,9,28992
5,22,92110.09859,436302.1429,1.5,93,100,1,7,28992
5,23,92112.2674,436296.3715,1.5,101,100,1,7,28992
5,24,92130.19827,436302.8266,1.5,108,100,1,6,28992
5,25,92158.71169,436305.5121,1.5,95,100,1,6,28992
5,26,92202.72943,436331.1104,1,98,100,1,4,28992
5,27,92217.33968,436324.8211,1.5,104,100,1,3,28992
5,28,92232.98589,436303.1488,1.5,100,100,1,3,28992
5,29,92173.45139,436299.3301,1.5,106,100,1,5,28992
5,30,92247.61172,436262.1376,2,104,100,1,1,28992
5,31,92186.87709,436263.603,1.5,101,100,1,5,28992
5,32,92190.56285,436264.988,1,96,100,1,4,28992
5,33,92198.33024,436244.1301,1.5,112,100,1,2,28992
6,0,92110.84339,436371.2387,1,102,100,1,12,28992
6,1,92062.79703,436448.6712,1.5,95,100,1,19,28992
6,2,92139.02588,436454.7468,2,96,100,1,16,28992
6,3,92148.62344,436448.8276,1,94,100,1,21,28992
6,4,92151.50189,436449.9093,1,96,100,1,14,28992
6,5,92154.11776,436450.8923,2,101,100,1,13,28992
6,6,92073.95777,436420.7694,1.5,93,100,1,17,28992
6,7,92069.22172,436406.1671,1.5,104,100,1,17,28992
6,8,92082.54751,436400.1265,1.5,100,100,1,15,28992
6,9,92080.39375,436345.4752,1,100,100,1,18,28992
6,10,92146.54553,436383.4084,1,103,100,1,14,28992
6,11,92147.43424,436381.0434,2,98,100,1,13,28992
6,12,92129.12934,436378.1102,1,100,100,1,20,28992
6,13,92130.01078,436375.7647,1.5,96,100,1,15,28992
6,14,92130.74601,436373.8081,2,105,100,1,8,28992
6,15,92135.00831,436362.4657,1,95,100,1,9,28992
6,16,92209.03947,436347.1462,2,98,100,1,8,28992
6,17,92104.04564,436332.0832,1,104,100,1,11,28992
6,18,92116.15108,436325.5407,1,101,100,1,12,28992
6,19,92163.28931,436322.1312,1,106,100,1,11,28992
6,20,92165.59751,436322.9986,2,89,100,1,10,28992
6,21,92169.4782,436324.4569,1,93,100,1,9,28992
6,22,92110.09859,436302.1429,1.5,107,100,1,7,28992
6,23,92112.2674,436296.3715,1.5,102,100,1,7,28992
6,24,92130.19827,436302.8266,1.5,94,100,1,6,28992
6,25,92158.71169,436305.5121,1.5,108,100,1,6,28992
6,26,92202.72943,436331.1104,1,98,100,1,4,28992
6,27,92217.33968,436324.8211,1.5,97,100,1,3,28992
6,28,92232.98589,436303.1488,1.5,93,100,1,3,28992
6,29,92173.45139,436299.3301,1.5,103,100,1,5,28992
6,30,92247.61172,436262.1376,2,100,100,1,1,28992
6,31,92186.87709,436263.603,1.5,96,100,1,5,28992
6,32,92190.56285,436264.988,1,95,100,1,4,28992
6,33,92198.33024,436244.1301,1.5,103,100,1,2,28992
7,0,92110.84339,436371.2387,1,108,100,1,12,28992
7,1,92062.79703,436448.6712,1.5,107,100,1,19,28992
7,2,92139.02588,436454.7468,2,104,100,1,16,28992
7,3,92148.62344,436448.8276,1,95,100,1,21,28992
7,4,92151.50189,436449.9093,1,100,100,1,14,28992
7,5,92154.11776,436450.8923,2,97,100,1,13,28992
7,6,92073.95777,436420.7694,1.5,97,100,1,17,28992
7,7,92069.22172,436406.1671,1.5,98,100,1,17,28992
7,8,92082.54751,436400.1265,1.5,93,100,1,15,28992
7,9,92080.39375,436345.4752,1,98,100,1,18,28992
7,10,92146.54553,436383.4084,1,96,100,1,14,28992
7,11,92147.43424,436381.0434,2,108,100,1,13,28992
7,12,92129.12934,436378.1102,1,96,100,1,20,28992
7,13,92130.01078,436375.7647,1.5,94,100,1,15,28992
7,14,92130.74601,436373.8081,2,99,100,1,8,28992
7,15,92135.00831,436362.4657,1,95,100,1,9,28992
7,16,92209.03947,436347.1462,2,96,100,1,8,28992
7,17,92104.04564,436332.0832,1,101,100,1,11,28992
7,18,92116.15108,436325.5407,1,93,100,1,12,28992
7,19,92163.28931,436322.1312,1,94,100,1,11,28992
7,20,92165.59751,436322.9986,2,99,100,1,10,28992
7,21,92169.4782,436324.4569,1,96,100,1,9,28992
7,22,92110.09859,436302.1429,1.5,102,100,1,7,28992
7,23,92112.2674,436296.3715,1.5,107,100,1,7,28992
7,24,92130.19827,436302.8266,1.5,97,100,1,6,28992
7,25,92158.71169,436305.5121,1.5,101,100,1,6,28992
7,26,92202.72943,436331.1104,1,94,100,1,4,28992
7,27,92217.33968,436324.8211,1.5,90,100,1,3,28992
7,28,92232.98589,436303.1488,1.5,118,100,1,3,28992
7,29,92173.45139,436299.3301,1.5,101,100,1,5,28992
7,30,92247.61172,436262.1376,2,102,100,1,1,28992
7,31,92186.87709,436263.603,1.5,101,100,1,5,28992
7,32,92190.56285,436264.988,1,102,100,1,4,28992
7,33,92198.33024,436244.1301,1.5,98,100,1,2,28992
8,0,92110.84339,436371.2387,1,98,100,1,12,28992
8,1,92062.79703,436448.6712,1.5,103,100,1,19,28992
8,2,92139.02588,436454.7468,2,99,100,1,16,28992
8,3,92148.62344,436448.8276,1,95,100,1,21,28992
8,4,92151.50189,436449.9093,1,98,100,1,14,28992
8,5,92154.11776,436450.8923,2,96,100,1,13,28992
8,6,92073.95777,436420.7694,1.5,104,100,1,17,28992
8,7,92069.22172,436406.1671,1.5,97,100,1,17,28992
8,8,92082.54751,436400.1265,1.5,101,100,1,15,28992
8,9,92080.39375,436345.4752,1,102,100,1,18,28992
8,10,92146.54553,436383.4084,1,105,100,1,14,28992
8,11,92147.43424,436381.0434,2,110,100,1,13,28992
8,12,92129.12934,436378.1102,1,108,100,1,20,28992
8,13,92130.01078,436375.7647,1.5,94,100,1,15,28992
8,14,92130.74601,436373.8081,2,93,100,1,8,28992
8,15,92135.00831,436362.4657,1,93,100,1,9,28992
8,16,92209.03947,436347.1462,2,114,100,1,8,28992
8,17,92104.04564,436332.0832,1,98,100,1,11,28992
8,18,92116.15108,436325.5407,1,96,100,1,12,28992
8,19,92163.28931,436322.1312,1,100,100,1,11,28992
8,20,92165.59751,436322.9986,2,94,100,1,10,28992
8,21,92169.4782,436324.4569,1,94,100,1,9,28992
8,22,92110.09859,436302.1429,1.5,101,100,1,7,28992
8,23,92112.2674,436296.3715,1.5,100,100,1,7,28992
8,24,92130.19827,436302.8266,1.5,91,100,1,6,28992
8,25,92158.71169,436305.5121,1.5,94,100,1,6,28992
8,26,92202.72943,436331.1104,1,102,100,1,4,28992
8,27,92217.33968,436324.8211,1.5,96,100,1,3,28992
8,28,92232.98589,436303.1488,1.5,99,100,1,3,28992
8,29,92173.45139,436299.3301,1.5,101,100,1,5,28992
8,30,92247.61172,436262.1376,2,96,100,1,1,28992
8,31,92186.87709,436263.603,1.5,105,100,1,5,28992
8,32,92190.56285,436264.988,1,90,100,1,4,28992
8,33,92198.33024,436244.1301,1.5,102,100,1,2,28992
9,0,92110.84339,436371.2387,1,105,100,1,12,28992
9,1,92062.79703,436448.6712,1.5,106,100,1,19,28992
9,2,92139.02588,436454.7468,2,110,100,1,16,28992
9,3,92148.62344,436448.8276,1,92,100,1,21,28992
9,4,92151.50189,436449.9093,1,102,100,1,14,28992
9,5,92154.11776,436450.8923,2,97,100,1,13,28992
9,6,92073.95777,436420.7694,1.5,94,100,1,17,28992
9,7,92069.22172,436406.1671,1.5,95,100,1,17,28992
9,8,92082.54751,436400.1265,1.5,92,100,1,15,28992
9,9,92080.39375,436345.4752,1,97,100,1,18,28992
9,10,92146.54553,436383.4084,1,101,100,1,14,28992
9,11,92147.43424,436381.0434,2,100,100,1,13,28992
9,12,92129.12934,436378.1102,1,95,100,1,20,28992
9,13,92130.01078,436375.7647,1.5,105,100,1,15,28992
9,14,92130.74601,436373.8081,2,103,100,1,8,28992
9,15,92135.00831,436362.4657,1,93,100,1,9,28992
9,16,92209.03947,436347.1462,2,110,100,1,8,28992
9,17,92104.04564,436332.0832,1,101,100,1,11,28992
9,18,92116.15108,436325.5407,1,95,100,1,12,28992
9,19,92163.28931,436322.1312,1,94,100,1,11,28992
9,20,92165.59751,436322.9986,2,105,100,1,10,28992
9,21,92169.4782,436324.4569,1,97,100,1,9,28992
9,22,92110.09859,436302.1429,1.5,91,100,1,7,28992
9,23,92112.2674,436296.3715,1.5,100,100,1,7,28992
9,24,92130.19827,436302.8266,1.5,110,100,1,6,28992
9,25,92158.71169,436305.5121,1.5,95,100,1,6,28992
9,26,92202.72943,436331.1104,1,104,100,1,4,28992
9,27,92217.33968,436324.8211,1.5,97,100,1,3,28992
9,28,92232.98589,436303.1488,1.5,91,100,1,3,28992
9,29,92173.45139,436299.3301,1.5,97,100,1,5,28992
9,30,92247.61172,436262.1376,2,99,100,1,1,28992
9,31,92186.87709,436263.603,1.5,106,100,1,5,28992
9,32,92190.56285,436264.988,1,107,100,1,4,28992
9,33,92198.33024,436244.1301,1.5,96,100,1,2,28992
10,0,92110.84339,436371.2387,1,105,100,1,12,28992
10,1,92062.79703,436448.6712,1.5,103,100,1,19,28992
10,2,92139.02588,436454.7468,2,102,100,1,16,28992
10,3,92148.62344,436448.8276,1,101,100,1,21,28992
10,4,92151.50189,436449.9093,1,98,100,1,14,28992
10,5,92154.11776,436450.8923,2,102,100,1,13,28992
10,6,92073.95777,436420.7694,1.5,105,100,1,17,28992
10,7,92069.22172,436406.1671,1.5,103,100,1,17,28992
10,8,92082.54751,436400.1265,1.5,102,100,1,15,28992
10,9,92080.39375,436345.4752,1,101,100,1,18,28992
10,10,92146.54553,436383.4084,1,106,100,1,14,28992
10,11,92147.43424,436381.0434,2,99,100,1,13,28992
10,12,92129.12934,436378.1102,1,110,100,1,20,28992
10,13,92130.01078,436375.7647,1.5,98,100,1,15,28992
10,14,92130.74601,436373.8081,2,103,100,1,8,28992
10,15,92135.00831,436362.4657,1,101,100,1,9,28992
10,16,92209.03947,436347.1462,2,99,100,1,8,28992
10,17,92104.04564,436332.0832,1,100,100,1,11,28992
10,18,92116.15108,436325.5407,1,97,100,1,12,28992
10,19,92163.28931,436322.1312,1,105,100,1,11,28992
10,20,92165.59751,436322.9986,2,96,100,1,10,28992
10,21,92169.4782,436324.4569,1,113,100,1,9,28992
10,22,92110.09859,436302.1429,1.5,98,100,1,7,28992
10,23,92112.2674,436296.3715,1.5,101,100,1,7,28992
10,24,92130.19827,436302.8266,1.5,104,100,1,6,28992
10,25,92158.71169,436305.5121,1.5,100,100,1,6,28992
10,26,92202.72943,436331.1104,1,97,100,1,4,28992
10,27,92217.33968,436324.8211,1.5,98,100,1,3,28992
10,28,92232.98589,436303.1488,1.5,97,100,1,3,28992
10,29,92173.45139,436299.3301,1.5,99,100,1,5,28992
10,30,92247.61172,436262.1376,2,102,100,1,1,28992
10,31,92186.87709,436263.603,1.5,106,100,1,5,28992
10,32,92190.56285,436264.988,1,93,100,1,4,28992
10,33,92198.33024,436244.1301,1.5,104,100,1,2,28992
11,0,92110.84339,436371.2387,1,98,100,1,12,28992
11,1,92062.79703,436448.6712,1.5,98,100,1,19,28992
11,2,92139.02588,436454.7468,2,95,100,1,16,28992
11,3,92148.62344,436448.8276,1,103,100,1,21,28992
11,4,92151.50189,436449.9093,1,98,100,1,14,28992
11,5,92154.11776,436450.8923,2,102,100,1,13,28992
11,6,92073.95777,436420.7694,1.5,101,100,1,17,28992
11,7,92069.22172,436406.1671,1.5,99,100,1,17,28992
11,8,92082.54751,436400.1265,1.5,95,100,1,15,28992
11,9,92080.39375,436345.4752,1,98,100,1,18,28992
11,10,92146.54553,436383.4084,1,100,100,1,14,28992
11,11,92147.43424,436381.0434,2,104,100,1,13,28992
11,12,92129.12934,436378.1102,1,100,100,1,20,28992
11,13,92130.01078,436375.7647,1.5,101,100,1,15,28992
11,14,92130.74601,436373.8081,2,99,100,1,8,28992
11,15,92135.00831,436362.4657,1,100,100,1,9,28992
11,16,92209.03947,436347.1462,2,101,100,1,8,28992
11,17,92104.04564,436332.0832,1,92,100,1,11,28992
11,18,92116.15108,436325.5407,1,113,100,1,12,28992
11,19,92163.28931,436322.1312,1,98,100,1,11,28992
11,20,92165.59751,436322.9986,2,101,100,1,10,28992
11,21,92169.4782,436324.4569,1,90,100,1,9,28992
11,22,92110.09859,436302.1429,1.5,98,100,1,7,28992
11,23,92112.2674,436296.3715,1.5,91,100,1,7,28992
11,24,92130.19827,436302.8266,1.5,101,100,1,6,28992
11,25,92158.71169,436305.5121,1.5,100,100,1,6,28992
11,26,92202.72943,436331.1104,1,105,100,1,4,28992
11,27,92217.33968,436324.8211,1.5,91,100,1,3,28992
11,28,92232.98589,436303.1488,1.5,103,100,1,3,28992
11,29,92173.45139,436299.3301,1.5,100,100,1,5,28992
11,30,92247.61172,436262.1376,2,103,100,1,1,28992
11,31,92186.87709,436263.603,1.5,99,100,1,5,28992
11,32,92190.56285,436264.988,1,90,100,1,4,28992
11,33,92198.33024,436244.1301,1.5,93,100,1,2,28992
12,0,92110.84339,436371.2387,1,101,100,1,12,28992
12,1,92062.79703,436448.6712,1.5,105,100,1,19,28992
12,2,92139.02588,436454.7468,2,100,100,1,16,28992
12,3,92148.62344,436448.8276,1,99,100,1,21,28992
12,4,92151.50189,436449.9093,1,98,100,1,14,28992
12,5,92154.11776,436450.8923,2,98,100,1,13,28992
12,6,92073.95777,436420.7694,1.5,107,100,1,17,28992
12,7,92069.22172,436406.1671,1.5,97,100,1,17,28992
12,8,92082.54751,436400.1265,1.5,91,100,1,15,28992
12,9,92080.39375,436345.4752,1,101,100,1,18,28992
12,10,92146.54553,436383.4084,1,103,100,1,14,28992
12,11,92147.43424,436381.0434,2,88,100,1,13,28992
12,12,92129.12934,436378.1102,1,107,100,1,20,28992
12,13,92130.01078,436375.7647,1.5,100,100,1,15,28992
12,14,92130.74601,436373.8081,2,96,100,1,8,28992
12,15,92135.00831,436362.4657,1,103,100,1,9,28992
12,16,92209.03947,436347.1462,2,97,100,1,8,28992
12,17,92104.04564,436332.0832,1,100,100,1,11,28992
12,18,92116.15108,436325.5407,1,103,100,1,12,28992
12,19,92163.28931,436322.1312,1,108,100,1,11,28992
12,20,92165.59751,436322.9986,2,96,100,1,10,28992
12,21,92169.4782,436324.4569,1,95,100,1,9,28992
12,22,92110.09859,436302.1429,1.5,95,100,1,7,28992
12,23,92112.2674,436296.3715,1.5,105,100,1,7,28992
12,24,92130.19827,436302.8266,1.5,94,100,1,6,28992
12,25,92158.71169,436305.5121,1.5,98,100,1,6,28992
12,26,92202.72943,436331.1104,1,96,100,1,4,28992
12,27,92217.33968,436324.8211,1.5,101,100,1,3,28992
12,28,92232.98589,436303.1488,1.5,92,100,1,3,28992
12,29,92173.45139,436299.3301,1.5,101,100,1,5,28992
12,30,92247.61172,436262.1376,2,90,100,1,1,28992
12,31,92186.87709,436263.603,1.5,98,100,1,5,28992
12,32,92190.56285,436264.988,1,104,100,1,4,28992
12,33,92198.33024,436244.1301,1.5,92,100,1,2,28992
13,0,92110.84339,436371.2387,1,98,100,1,12,28992
13,1,92062.79703,436448.6712,1.5,97,100,1,19,28992
13,2,92139.02588,436454.7468,2,97,100,1,16,28992
13,3,92148.62344,436448.8276,1,100,100,1,21,28992
13,4,92151.50189,436449.9093,1,95,100,1,14,28992
13,5,92154.11776,436450.8923,2,96,100,1,13,28992
13,6,92073.95777,436420.7694,1.5,95,100,1,17,28992
13,7,92069.22172,436406.1671,1.5,102,100,1,17,28992
13,8,92082.54751,436400.1265,1.5,103,100,1,15,28992
13,9,92080.39375,436345.4752,1,93,100,1,18,28992
13,10,92146.54553,436383.4084,1,99,100,1,14,28992
13,11,92147.43424,436381.0434,2,93,100,1,13,28992
13,12,92129.12934,436378.1102,1,94,100,1,20,28992
13,13,92130.01078,436375.7647,1.5,97,100,1,15,28992
13,14,92130.74601,436373.8081,2,96,100,1,8,28992
13,15,92135.00831,436362.4657,1,97,100,1,9,28992
13,16,92209.03947,436347.1462,2,99,100,1,8,28992
13,17,92104.04564,436332.0832,1,90,100,1,11,28992
13,18,92116.15108,436325.5407,1,91,100,1,12,28992
13,19,92163.28931,436322.1312,1,100,100,1,11,28992
13,20,92165.59751,436322.9986,2,96,100,1,10,28992
13,21,92169.4782,436324.4569,1,101,100,1,9,28992
13,22,92110.09859,436302.1429,1.5,104,100,1,7,28992
13,23,92112.2674,436296.3715,1.5,102,100,1,7,28992
13,24,92130.19827,436302.8266,1.5,102,100,1,6,28992
